"item_num","product_name","description","category","score","buy_link","video_link","image_link","review_link"
11,"12/16 Pcs Camping Cookware Stove Carabiner Canister","Aluminum oxide material selected, internal surface material non-toxic and wear-resistant, the pots are fast in heat conduction, and most of the purchasers commented that to boil a full pot of water took less than 4 minutes.","cooking",8,"https://www.amazon.com/Cookware-Carabiner-Bisgear-Backpacking-Non-stick/dp/B01KUFNXZ8/ref=sr_1_2?ie=UTF8&qid=1517167162&sr=8-2&keywords=survival+gear+cooking",NULL,"https://images-na.ssl-images-amazon.com/images/I/71TYfpbb75L._SL1200_.jpg","https://www.amazon.com/Cookware-Carabiner-Bisgear-Backpacking-Non-stick/dp/B01KUFNXZ8/ref=sr_1_2?ie=UTF8&qid=1517167162&sr=8-2&keywords=survival+gear+cooking#customerReviews"
12,"Jetboil Flash Personal Cooking System","The Jetboil Flash cooking system utilizes the same efficient design as the now classic Personal Cooking System (PCS) but adds the additional convenience feature of an external temperature indicator. Designed to capture and focus heat more efficiently than traditional cooking systems, the Flash brings two cups of water to a boil in only two minutes. ","cooking",8,"https://www.amazon.com/Jetboil-Flash-Personal-Cooking-System/dp/B0093UA45Y/ref=as_li_ss_tl?s=sporting-goods&ie=UTF8&qid=1498662697&sr=1-3&keywords=jetboil+stove+kit&linkCode=sl1&tag=outdoorlife03-20&linkId=291c587d3a72568f0f25f5874130e8a0",NULL,"https://images-na.ssl-images-amazon.com/images/I/61aT9sixetL._SL1200_.jpg","https://www.amazon.com/Jetboil-Flash-Personal-Cooking-System/dp/B0093UA45Y/ref=as_li_ss_tl?s=sporting-goods&ie=UTF8&qid=1498662697&sr=1-3&keywords=jetboil+stove+kit&linkCode=sl1&tag=outdoorlife03-20&linkId=291c587d3a72568f0f25f5874130e8a0#customerReviews"
13,"TACT Bivvy Emergency Survival Sleeping Bag","he TACT Bivvy Emergency Sleeping Bag is an amazing survival tool to add to your survival kit or camping gear. This light weight sleeping bag can be used by itself, or act as a sleeping bag liner to keep you sound asleep. The TACT Bivvy is made from our HeatEcho™ thermal reflective material for heat retention and is also waterproof, windproof, and reinforced at the seams for added strength and durability. It also packs inside a tiny durable nylon stuff sack, keeping it compact for your bug out bag or camping gear.","shelter",8,"https://www.amazon.com/TACT-Bivvy-Emergency-Survival-Sleeping/dp/B01M9CBOP3/ref=sr_1_7?ie=UTF8&qid=1517165177&sr=8-7&keywords=survival+gear",NULL,"https://images-na.ssl-images-amazon.com/images/I/71AlJ%2BuxxCL._SL1000_.jpg","https://www.amazon.com/TACT-Bivvy-Emergency-Survival-Sleeping/dp/B01M9CBOP3/ref=sr_1_7?ie=UTF8&qid=1517165177&sr=8-7&keywords=survival+gear#customerReviews"
14,"Survival Shack Emergency Survival Shelter Tent","The Survival Shackl® is an essential for any outdoor adventure or emergency kit. The Survival Shack is made from mylar thermal material designed by NASA to reflect 90% of body heat and keep you warm in any weather. The shelter is compact and lightweight, making it easy to carry with you on any camping, hiking, hunting, boating, backpacking or survival adventures, and is large enough (8’ X 5’) to accommodate two adults.","shelter",8,"https://www.amazon.com/Emergency-Reflective-Conserves-Lightweight-Waterproof/dp/B01GOL67YG/ref=sr_1_13?ie=UTF8&qid=1517165177&sr=8-13&keywords=survival+gear",NULL,"https://images-na.ssl-images-amazon.com/images/I/61tpCYOnAsL._SL1000_.jpg","https://www.amazon.com/Emergency-Reflective-Conserves-Lightweight-Waterproof/dp/B01GOL67YG/ref=sr_1_13?ie=UTF8&qid=1517165177&sr=8-13&keywords=survival+gear#customerReviews"
15,"UST WetFire Tinder","Lightweight, safe, and easy-to-carry, UST's WetFire Tinder is guaranteed to light in windy or wet conditions. Requiring just a small amount of tinder to build a fire, you can shave off a small piece or use the entire cube depending on the level of wind or moisture. WetFire tinder burns up to 5 minutes and can be extinguished instantly.","firestarters",8,"https://www.amazon.com/UST-20-1WG0412-WetFire-Tinder-8-Pack/dp/B001H9N8BQ/ref=sr_1_25?ie=UTF8&qid=1517165861&sr=8-25&keywords=survival+gear",NULL,"https://images-na.ssl-images-amazon.com/images/I/71XHBSwMBlL._SL1500_.jpg","https://www.amazon.com/UST-20-1WG0412-WetFire-Tinder-8-Pack/dp/B001H9N8BQ/ref=sr_1_25?ie=UTF8&qid=1517165861&sr=8-25&keywords=survival+gear#customerReviews"
16,"X-Plore Gear Firestarter","Whether you're gathering the essentials to build a distress and emergency kit, or you're an outdoorsman and are looking for something extra for your camping gear, this tool is ideal for you! Not only it provides a trusty way to build up a fire under any circumstances, it also features a built-in compass and a special emergency whistle!","firestarters",8,"https://www.amazon.com/X-Plore-Gear-Firestarter-Multifunction-Magnesium/dp/B01M68RGRI/ref=sr_1_10?ie=UTF8&qid=1517166551&sr=8-10&keywords=survival+gear",NULL,"https://images-na.ssl-images-amazon.com/images/I/810Hu2r1PQL._SL1500_.jpg","https://www.amazon.com/X-Plore-Gear-Firestarter-Multifunction-Magnesium/dp/B01M68RGRI/ref=sr_1_10?ie=UTF8&qid=1517166551&sr=8-10&keywords=survival+gear#customerReviews"
17,"Patagonia Men's Storm Racer Jacket","Featherweight H2No® Performance Standard 100% nylon ripstop keeps you dry, while a tricot backer wears soft and comfortable next to your skin Zippered chest pocket converts to stuffsack with a reinforced carabiner clip-in loop","clothing",8,"http://www.patagonia.com/product/mens-storm-racer-running-jacket/24110.html",NULL,"http://www.patagonia.com/dis/dw/image/v2/ABBM_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw8801063f/images/hi-res/24110_BLK.jpg?sw=750&sh=750&sm=fit&sfrm=png","https://www.amazon.com/Patagonia-Mens-Houdini-Jacket-Large/dp/B075FSQXZ9/ref=sr_1_30_mc?s=apparel&ie=UTF8&qid=1517887265&sr=1-30&keywords=patagonia#customerReviews"
18,"Ellsworth & Company Men's Ellsworth Hike/Pack Socks","Ellsworth implements patented VChannel technology that gives sweat a path to escape and evaporate. Partnering with Merino wool our VChannels move vapor off your feet unlike any other sock by using 3 Dimensional DESIGN. This keeps your feet drier - our test conclude 45% drier than the leading competition! The signature on our seamless toe represents a standard of excellence, innovation and craftsmanship while proudly being knit in America. Hike confidently in a sock that will stand behind you with a lifetime guarantee. Our passion is socks. Step in and experience our passion. Feel the difference.","clothing",8,"https://www.amazon.com/Ellsworth-Company-Featuring-Patented-Technology/dp/B072L6PS55",NULL,"https://images-na.ssl-images-amazon.com/images/I/41qdhcMf7mL._UX385_.jpg","https://www.amazon.com/Patagonia-Mens-Houdini-Jacket-Large/dp/B075FSQXZ9/ref=sr_1_30_mc?s=apparel&ie=UTF8&qid=1517887265&sr=1-30&keywords=patagonia#customerReviews"
19,"Vgo… Goatskin Leather Waterproof Gloves","Vgo... goatskin leather palm winter Work gloves have genuine goatskin leather boasts all day comfort with excellent smoothness and gentleness, Thinsulate lining for cold proof and breathable waterproof bag.","clothing",8,"https://www.amazon.com/Vgo-Goatskin-Leather-Waterproof-Winter/dp/B07216T7TY/ref=sr_1_9?s=hi&ie=UTF8&qid=1517169866&sr=1-9&keywords=Work+Gloves",NULL,"https://images-na.ssl-images-amazon.com/images/I/51AfcWAinlL.01_SL500_.jpg","https://www.amazon.com/Vgo-Goatskin-Leather-Waterproof-Winter/dp/B07216T7TY/ref=sr_1_9?s=hi&ie=UTF8&qid=1517169866&sr=1-9&keywords=Work+Gloves"
20,"X-Plore Gear Emergency Paracord Bracelets","THE ULTIMATE SURVIVAL GEAR: The SA01 emergency paracord bracelet is a compact and tactical survival bracelet that comes packed with all the necessary features you need, in order to survive in the wilderness. Our paracord bracelet is the ideal choice for every camping, hiking, hunting, fishing enthusiast or simply anyone who likes going in the Great Outdoors and be prepared!","ropescordsaccessories",8,"https://www.amazon.com/X-Plore-Gear-Emergency-Wilderness-Survival-Kit/dp/B06XZ9SMZ9/ref=sr_1_3?ie=UTF8&qid=1517167162&sr=8-3&keywords=survival+gear+cooking",NULL,"https://images-na.ssl-images-amazon.com/images/I/91YkEX6NBPL._SL1500_.jpg","https://www.amazon.com/X-Plore-Gear-Emergency-Wilderness-Survival-Kit/dp/B06XZ9SMZ9/ref=sr_1_3?ie=UTF8&qid=1517167162&sr=8-3&keywords=survival+gear+cooking#customerReviews"
21,"Gorilla 6035180 Tape","Made with double thick adhesive, strong reinforced backing, and a tough all-weather shell, it’s the biggest, strongest, toughest thing ever to happen to duct tape. To us, it’s made the way tape should be: The toughest on planet earth.","ropescordsaccessories",8,"https://www.amazon.com/Gorilla-6035180-Black-Tape-1-88/dp/B000CSS8UE/ref=sr_1_1_sspa?s=sporting-goods&ie=UTF8&qid=1517169651&sr=1-1-spons&keywords=gorilla+tape&psc=1",NULL,"https://images-na.ssl-images-amazon.com/images/I/819H6kLerFL._SL1500_.jpg","https://www.amazon.com/Gorilla-6035180-Black-Tape-1-88/dp/B000CSS8UE/ref=sr_1_1_sspa?s=sporting-goods&ie=UTF8&qid=1517169651&sr=1-1-spons&keywords=gorilla+tape&psc=1#customerReviews"
22,"Big Wall Traverse Aluminum Carabiners","These UIAA CERTIFIED carabiners are perfect setting up a complex anchor system, hooking up your hammock at camp, or just for having on your rack for whatever pops up. At just under 50g, you'll be able to carry several of these without being weighed down. If you are looking to add a small locking carabiner to your rack this is the perfect Key Lock Screw-Lock Carabiner. It is compact, lightweight, and has a great neutral color.","ropescordsaccessories",8,"https://www.amazon.com/Big-Wall-Traverse-Certified-Carabiners/dp/B0175B8ME2/ref=sr_1_1_sspa?s=sporting-goods&ie=UTF8&qid=1517169691&sr=1-1-spons&keywords=carabiner&psc=1",NULL,"https://images-na.ssl-images-amazon.com/images/I/81LvKRo%2BT0L._SL1500_.jpg","https://www.amazon.com/Big-Wall-Traverse-Certified-Carabiners/dp/B0175B8ME2/ref=sr_1_1_sspa?s=sporting-goods&ie=UTF8&qid=1517169691&sr=1-1-spons&keywords=carabiner&psc=1#customerReviews"
23,"CVLIFE Outdoor Tactical Backpack","1.5 Inch Waist Belt and 1 Inch Sternum Strap Padded back of the backpack provides a comfortable feel. The inside pouches are made by waterproof material, wearable and durable. Equipped with durable zipper closure, all pounces are easy to open and close. ","bagsandpacks",8,"https://www.amazon.com/CVLIFE-Tactical-Backpack-Rucksacks-Waterproof/dp/B00Z5F2LQG/ref=sr_1_16?ie=UTF8&qid=1517165177&sr=8-16&keywords=survival%2Bgear&th=1",NULL,"https://images-na.ssl-images-amazon.com/images/I/612krG1BhWL._SL1200_.jpg","https://www.amazon.com/CVLIFE-Tactical-Backpack-Rucksacks-Waterproof/dp/B00Z5F2LQG/ref=sr_1_16?ie=UTF8&qid=1517165177&sr=8-16&keywords=survival%2Bgear&th=1#customerReviews"
24,"Nathan HyperBrite Strobe","Small but powerful, the HyperBrite strobe easily clips to your pack, clothing or even a shoe to keep you visible after the sun goes down.","signaling",8,"https://www.rei.com/product/874404/nathan-hyperbright-strobe",NULL,"https://www.rei.com/media/1ed98e06-3a09-453d-8083-508b0976bfb3?size=1020x510","https://www.amazon.com/product-reviews/B00LZQE9AK/ref=acr_search_see_all?ie=UTF8&showViewpoints=1"
25,"First Aid Only All-Purpose First Aid","Be ready for all potential emergencies at home, in the car, outdoors or on the water. Developed to save time and frustration in the midst of emergency situations. Supplies are easy to find in our patent pending, clear-pocket pages.","firstaid",8,"https://www.amazon.com/gp/product/B000069EYA/ref=as_li_tl?ie=UTF8&tag=biipgf_100917_best-first-aid-kits-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B000069EYA&linkId=ad0e174a1a558aa470a3d6581c840c00",NULL,"https://images-na.ssl-images-amazon.com/images/I/61LRlkpFrOL.jpg","https://www.amazon.com/gp/product/B000069EYA/ref=as_li_tl?ie=UTF8&tag=biipgf_100917_best-first-aid-kits-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B000069EYA&linkId=ad0e174a1a558aa470a3d6581c840c00#customerReviews"
26,"Recon Medical BLK-1PAK-FBA Tourniquet","Life saving equipment - hemorrhaging is the leading cause of preventable death in tactical and non-tactical trauma situations. Patent pending finger hole design for better grip in mud, blood, or wet weather - easily add one or more to home emergency kits, cars, backpacks, motorcycles, range bag, construction belt or carried on person for immediate use. - easy simple design - one handed design for self-application","firstaid",8,"https://www.amazon.com/Recon-Medical-BLK-1PAK-FBA-Tourniquet-Pre-Hospital/dp/B01ETMVQOI/ref=sr_1_2_sspa?ie=UTF8&qid=1517170421&sr=8-2-spons&keywords=Tourniquet&psc=1",NULL,"https://images-na.ssl-images-amazon.com/images/I/41ufPZsR8AL.jpg","https://www.amazon.com/Recon-Medical-BLK-1PAK-FBA-Tourniquet-Pre-Hospital/dp/B01ETMVQOI/ref=sr_1_2_sspa?ie=UTF8&qid=1517170421&sr=8-2-spons&keywords=Tourniquet&psc=1#customerReviews"
27,"SAM Rolled Splint 36\", Orange/Blue","Sam Splint","firstaid",8,"https://www.amazon.com/SAM-Rolled-Splint-Orange-Blue/dp/B001J5H92C/ref=sr_1_5_a_it?ie=UTF8&qid=1517170476&sr=8-5&keywords=Sam+Splint",NULL,"https://images-na.ssl-images-amazon.com/images/I/71GKEmqp3XL._SX522_.jpg","https://www.amazon.com/SAM-Rolled-Splint-Orange-Blue/dp/B001J5H92C/ref=sr_1_5_a_it?ie=UTF8&qid=1517170476&sr=8-5&keywords=Sam+Splint#customerReviews"
28,"Fenix PD35 TAC 1000 Lumen","The PD35 TAC (Tactical Edition) remains a pocket size but has a higher performance and focuses on tactcial employment. Measured at less than 5.51 inches, it features up to a 1000-lumen output and has a beam distance of up to 656 feet. In the Outdoor Mode, the PD35 TAC delivers 6 output modes. However, the Tactical Mode strengthens the PD35 TAC with simplified and fast operation. From outdoor use to law enforcement, you can resort to it.","lighting",8,"https://www.amazon.com/Tactical-Flashlight-EdisonBright-Lithium-Batteries/dp/B00DR9GWX0/ref=sr_1_2_sspa?ie=UTF8&qid=1517168426&sr=8-2-spons&keywords=Fenix+PD35+Tactical+Flashlight&psc=1",NULL,"https://images-na.ssl-images-amazon.com/images/I/51SSVg3AZhL._SY450_.jpg","https://www.amazon.com/Tactical-Flashlight-EdisonBright-Lithium-Batteries/dp/B00DR9GWX0/ref=sr_1_2_sspa?ie=UTF8&qid=1517168426&sr=8-2-spons&keywords=Fenix+PD35+Tactical+Flashlight&psc=1#customerReviews"
29,"Olympia EX550 LED Headlamp","The Olympia EX550 headlamp is durable and powerful at 550 lumens. This headlamp is made from lightweight aluminum making it a great solution for rigorous activities such as trail running, caving, skiing and more. It is powered by a Cree XM-L LED bulb, has five lighting modes and is waterproof to IPX-7 up to one meter. With the lock-out function that prevents battery drain and accidental on/off, this headlamp will travel with you anywhere.","lighting",8,"https://www.amazon.com/Olympia-EX550-Lightweight-Resistant-Headlamp/dp/B00K5FFU50/ref=as_li_ss_tl?ie=UTF8&linkCode=sl1&tag=outdoorlife03-20&linkId=60f77c2d92df8e735137e60361e1475e",NULL,"https://images-na.ssl-images-amazon.com/images/I/61tCMqZ6dhL._SL1000_.jpg","https://www.amazon.com/Olympia-EX550-Lightweight-Resistant-Headlamp/dp/B00K5FFU50/ref=as_li_ss_tl?ie=UTF8&linkCode=sl1&tag=outdoorlife03-20&linkId=60f77c2d92df8e735137e60361e1475e#customerReviews"
30,"Garmin GPSMAP 64 GPS","With its quad helix antenna and high-sensitivity, GPS and GLONASS, receiver, GPSMAP 64 locates your position quickly and precisely and maintains its location even in heavy cover and deep canyons. The advantage is clear — whether you’re in deep woods or just near tall buildings and trees, you can count on GPSMAP 64 to help you find your way when you need it the most.","gpsandcompass",8,"https://www.amazon.com/dp/B00HWL9AR4/ref=sr_ob_1?s=sports-and-fitness&ie=UTF8&qid=1517168503&sr=1-1",NULL,"https://images-na.ssl-images-amazon.com/images/I/41Y6NEME1BL.jpg","https://www.amazon.com/dp/B00HWL9AR4/ref=sr_ob_1?s=sports-and-fitness&ie=UTF8&qid=1517168503&sr=1-1#customerReviews"
31,"Suunto MC-2 Compass","THE SIGHTING COMPASS FOR GLOBAL MOUNTAINEERS Suunto MC-2/360/G/D/L Compass SS004252010 The advanced navigation compass. When venturing out into new territory, these sighting compasses offer precision navigation with a variety of carefully engineered and dependable features for challenging conditions.","gpsandcompass",8,"https://www.amazon.com/Suunto-SS004252010-MC-2G-Global-Compass/dp/B000FEUCRW/ref=sr_1_cc_1?s=aps&ie=UTF8&qid=1517169450&sr=1-1-catcorr&keywords=suunto+compass",NULL,"https://images-na.ssl-images-amazon.com/images/I/815sCDB8CzL._SL1500_.jpg","https://www.amazon.com/Suunto-SS004252010-MC-2G-Global-Compass/dp/B000FEUCRW/ref=sr_1_cc_1?s=aps&ie=UTF8&qid=1517169450&sr=1-1-catcorr&keywords=suunto+compass#customerReviews"
32,"Nikon 7576 MONARCH 5 8x42 Binocular (Black)","Even with an uncontested heritage of all-conditions optical performance, the all-new MONARCH 5 further elevates its game with improved agility and advanced low light brilliance. ","optics",8,"https://www.amazon.com/Nikon-7576-MONARCH-Binocular-Black/dp/B00C66C950/ref=sr_1_fkmr0_1?s=sporting-goods&ie=UTF8&qid=1517168687&sr=1-1-fkmr0&keywords=Nikon+Monarch+ATB+8%C3%9742.",NULL,"https://images-na.ssl-images-amazon.com/images/I/715axw23PxL._SL1200_.jpg","https://www.amazon.com/Nikon-7576-MONARCH-Binocular-Black/dp/B00C66C950/ref=sr_1_fkmr0_1?s=sporting-goods&ie=UTF8&qid=1517168687&sr=1-1-fkmr0&keywords=Nikon+Monarch+ATB+8%C3%9742.#customerReviews"
33,"CenterPoint Sniper 370 Crossbow","Big game performance in a package that begs to hit the mountain. A fully adjustable stock and pass-through foregrip accommodate your shooting style to ensure exceptional accuracy and quad limbs fitted with a precision CNC-machined cam system delivers mind-blowing speeds up to 370 FPS. ","defense",8,"https://www.amazon.com/CenterPoint-Sniper-370-Crossbow-Package/dp/B01H7KULFO/ref=sr_1_4?s=hunting-fishing&ie=UTF8&qid=1517170937&sr=1-4&keywords=crossbow",NULL,"https://images-na.ssl-images-amazon.com/images/I/8115akJ-XHL._SL1500_.jpg","https://www.amazon.com/CenterPoint-Sniper-370-Crossbow-Package/dp/B01H7KULFO/ref=sr_1_4?s=hunting-fishing&ie=UTF8&qid=1517170937&sr=1-4&keywords=crossbow#customerReviews"
34,"Bushcraft 101: A Field Guide","The ultimate resource for experiencing the backcountry!","emergencyandsurvival",8,"https://www.amazon.com/Bushcraft-101-Field-Wilderness-Survival/dp/1440579776/ref=sr_1_3?ie=UTF8&qid=1517165177&sr=8-3&keywords=survival+gear",NULL,"https://images-na.ssl-images-amazon.com/images/I/51RCbtm%2BvTL._SX323_BO1,204,203,200_.jpg","https://www.amazon.com/Bushcraft-101-Field-Wilderness-Survival/dp/1440579776/ref=sr_1_3?ie=UTF8&qid=1517165177&sr=8-3&keywords=survival+gear#customerReviews"
35,"Banana Boat Sport Lotion Sunscreens","Sport performance sunscreen SPF 30 lotion provides sweat and water resistant protection.","sunandprotection",8,"https://www.amazon.com/Banana-Boat-Performance-Sunscreens-Technology/dp/B0030ZEGDY/ref=sr_1_6_s_it?s=hpc&ie=UTF8&qid=1517170562&sr=1-6&keywords=sunscreen",NULL,"https://images-na.ssl-images-amazon.com/images/I/41vgFtU1EPL.jpg","https://www.amazon.com/Banana-Boat-Performance-Sunscreens-Technology/dp/B0030ZEGDY/ref=sr_1_6_s_it?s=hpc&ie=UTF8&qid=1517170562&sr=1-6&keywords=sunscreen#customerReviews"
